firstName,lastName,email,gender,mobile,birthDate,subjects,hobbies,filePath,address,state,city
Pedro,Ramirez,pedro.ramirez@outlook.com,Other,7744521155,4 May 2004,"Chemistry, English","Music, Reading",subjets.txt,Calle 72 Zona 3,NCR,Noida
Pedro,Torres,pedro.torres@gmail.com,Male,9171236440,15 May 2000,Biology,"Music, Reading",subjets.txt,Calle 50 Zona 3,Haryana,Karnal
Pedro,Ramirez,pedro.ramirez@yahoo.com,Female,8719063782,23 Oct 1997,"Physics, Chemistry",Music,subjets.txt,Calle 35 Zona 6,Rajasthan,Jaipur
Sofia,Torres,sofia.torres@outlook.com,Other,9364422766,20 May 1992,"Maths, History","Sports, Music",subjets.txt,Calle 41 Zona 9,Uttar Pradesh,Merrut
Pedro,Jimenez,pedro.jimenez@gmail.com,Female,7378412632,11 Apr 2001,"Chemistry, History",Music,subjets.txt,Calle 71 Zona 5,Rajasthan,Jaiselmer
Lucia,Mendoza,lucia.mendoza@outlook.com,Female,7488877109,25 Feb 1986,Physics,"Sports, Music, Reading",subjets.txt,Calle 100 Zona 7,NCR,Gurgaon
Juan,Perez,juan.perez@yahoo.com,Female,7993138542,3 Jul 1982,"History, Biology, English","Music, Reading",subjets.txt,Calle 31 Zona 1,Haryana,Panipat
Jorge,Ramirez,jorge.ramirez@gmail.com,Other,6229692603,28 Jul 1999,"Biology, Physics, English","Sports, Reading",subjets.txt,Calle 20 Zona 10,NCR,Delhi
Luis,Ramirez,luis.ramirez@yahoo.com,Other,7608403952,23 Sep 2001,"Chemistry, Maths","Sports, Music",subjets.txt,Calle 85 Zona 4,Rajasthan,Jaiselmer
Ana,Garcia,ana.garcia@yahoo.com,Other,9319097632,14 May 1983,English,Music,subjets.txt,Calle 50 Zona 8,Haryana,Karnal
Sofia,Ramirez,sofia.ramirez@outlook.com,Other,6142009356,12 Mar 1990,"English, Maths","Reading, Sports, Music",subjets.txt,Calle 11 Zona 2,Uttar Pradesh,Merrut
Lucia,Mendoza,lucia.mendoza@outlook.com,Female,8797290598,7 Jun 1985,History,"Sports, Music",subjets.txt,Calle 91 Zona 8,Haryana,Panipat
Jorge,Perez,jorge.perez@outlook.com,Female,8080579167,22 Mar 1990,"Physics, Chemistry",Reading,subjets.txt,Calle 21 Zona 8,NCR,Delhi
Marta,Martinez,marta.martinez@yahoo.com,Male,9053613271,20 Nov 2000,"Physics, Biology, History","Sports, Music",subjets.txt,Calle 79 Zona 5,NCR,Noida
Luis,Garcia,luis.garcia@gmail.com,Female,7446396360,24 Jul 1990,Physics,"Sports, Reading",subjets.txt,Calle 45 Zona 2,Rajasthan,Jaiselmer
Marta,Lopez,marta.lopez@gmail.com,Male,7166867784,17 Mar 1998,"Chemistry, English, Maths",Music,subjets.txt,Calle 10 Zona 8,Rajasthan,Jaiselmer
Carlos,Ramirez,carlos.ramirez@outlook.com,Other,8430051962,6 Jan 1987,"Physics, Maths",Sports,subjets.txt,Calle 46 Zona 9,Haryana,Panipat
Laura,Jimenez,laura.jimenez@yahoo.com,Other,7888856810,18 Nov 1982,"English, Biology",Music,subjets.txt,Calle 83 Zona 1,Haryana,Karnal
